Process_energyconsumption,1Process_energyconsumption,2Process_energyconsumption,Gas_consumption,Molteniron_production,TRTpower_generation,Gas_production,Coalinjection_consumption,Coke_consumption,Amount_of_blast,1BTwind_temperature,2BTwind_temperature,1Coal_ratio,2Coal_ratio,1Coke_ratio,2Coke_ratio,1CO2_contentofgas,2CO2_contentofgas,1TRTGenerationrate,2TRTGenerationrate,Hotmetal_ratio
372.24,374.94,374.94,0,23422,120.9336,3770.7883,3601.75,7797.19,201.2724,1244,1251,155.3,176.2,313.1,285.9,0,0,42.088,42.088,84.72
374.45,374.48,374.48,0,23446,119.0901,3758.3792,3563.73,7879.23,199.5623,1243,1252,155.7,173.3,310.3,293.7,0,0,39.5965,39.5965,84.45
373.53,375.09,375.09,0,23252,117.2466,3743.3873,3490.37,7863.31,198.499,1244,1250,158.8,167.7,310.8,296.5,23.4,23.4,39.7226,39.7226,85.25
373.97,375.07,375.07,0,23269,118.5985,3764.9487,3531.4,7847.5,200.4002,1243,1251,161.1,167.3,308.8,298,23,22.9,40.6105,40.6105,84.29
376.19,377.2,377.2,0,23462,122.9576,3763.2081,3631.3,7876.85,201.096,1252,1249,166.7,167.1,304,300.1,23,22.7,41.3518,41.3518,84.66
375.9,377.27,377.27,0,22342,118.2298,3671.5718,3422.1,7586.42,196.8673,1250,1239,169.2,161.3,304,307.7,23.3,23.1,42.3364,42.3364,84.59
371.38,373.76,373.76,0,23370,116.1405,3738.5023,3479.13,7889.5,198.1119,1247,1250,166.1,158.8,303.6,302.3,0,0,41.3696,41.3696,84.27
374.31,376.1,376.1,0,23441,117.0008,3753.7188,3514.36,7955.51,198.303,1240,1252,161.2,162.8,309.7,302,0,0,41.0756,41.0756,84.15
377.51,380.52,380.52,0,23150,117.8611,3723.0611,3442.57,7937.35,196.6909,1230,1247,157,160.4,318.4,303.9,23.2,22.9,43.3255,43.3255,84.95
376.74,378.83,378.83,0,23594,118.9672,3787.7455,3510.16,8090.65,200.9637,1241,1247,153.8,162.9,318.2,304.3,23.2,22.1,40.7674,40.7674,84.53
375.35,376.78,376.78,0,23313,120.442,3830.7347,3536.24,7955.8,201.8212,1246,1250,154.4,169.2,318.7,299.6,23,23.9,42.3345,42.3345,85.32
373.82,374.86,374.86,0,23833,119.8275,3828.2456,3545.99,8121.71,202.0711,1237,1252,151.8,170.1,316.7,295.7,22.8,22.9,39.8339,39.8339,84.84
374.43,375.41,375.41,0,23573,119.8275,3832.941,3652.48,7971.49,202.517,1246,1249,157,175.5,311.7,291.4,22.6,22.4,40.1423,40.1423,85.93
372.89,371.83,371.83,0,23375,118.7214,3802.5621,3667.87,7798.4,200.8657,1251,1250,162.7,175.9,301.3,291.2,0,0,39.8812,39.8812,84.52
375.8,374.82,374.82,0,23296,121.3023,3802.6187,3772.26,7742.08,200.0572,1252,1252,168.9,175.3,300.4,292.7,0,0,41.2663,41.2663,85.02
374.31,373.12,373.12,0,23207,122.0397,3799.5639,3591.25,7853.3,200.2385,1253,1248,166,166.7,300.7,302.3,23.5,22,41.5593,41.5593,84.66
388,372.88,372.88,0,16200,84.5552,2770.586,2381.98,5856.02,144.5304,1251,1035,166.7,160.1,300.3,374.8,23.3,0,41.1664,41.1664,85.17
374.44,372.77,372.77,0,14870,70.6675,2442.698,2092.39,5115.78,131.2563,1253,773,165.3,123.2,300.6,317,22.6,22.3,39.9421,39.9421,84.28
372.89,372.92,372.92,0,22971,118.7214,3758.3799,3448.14,7804.19,199.8367,1249,1225,167.5,155.9,296.8,308.9,23.6,22.8,40.0068,40.0068,86.75
372.59,375.01,375.01,0,23692,117.6153,3798.7153,3698.74,7866.92,200.8853,1253,1246,167.6,166.3,297.4,294.4,23.5,23.4,38.9201,38.9201,85.31
374.15,377.38,377.38,0,23662,115.7718,3777.9536,3810.3,7767.76,200.1797,1252,1251,169.4,172.5,296.7,289.1,0,0,38.9688,38.9688,84.91
372.27,371.54,371.54,0,23492,121.5481,3799.9033,3675.46,7807.84,201.3998,1251,1253,165,172.8,295.5,294.6,23.2,22.4,39.7799,39.7799,84.49
375.35,372.21,372.21,0,22874,121.1794,3769.3547,3685.99,7650.39,199.3565,1251,1243,172.1,169.7,293.9,304.6,22.7,22.2,40.6518,40.6518,85.29
367.5,369.66,369.66,0,23150,122.0397,3807.5404,3443.48,7800.3,200.5962,1253,1230,170,150.6,293.1,307.3,23.2,22.6,41.6171,41.6171,85.23
368.51,369.95,369.95,0,23699,118.9672,3827.3404,3698.95,7791.53,201.9682,1254,1249,171.5,161.6,290.6,295.4,22.8,22.8,40.4974,40.4974,85.11
368.29,370.25,370.25,0,23740,121.671,3842.049,3722.37,7804.23,202.4827,1254,1253,172.4,166.1,291.5,291.1,23.2,22.9,41.1294,41.1294,86.12
369.22,371.44,371.44,0,23731,121.1794,3837.0707,3767.7,7780.66,202.4092,1253,1253,173.9,168.3,291.9,289.3,0,0,41.7766,41.7766,84.46
368.04,368.85,368.85,0,23616,123.3916,3855.6261,3784.76,7720.66,202.468,1254,1253,172.3,172.6,290.9,288.6,0,0,41.7192,41.7192,84.34
368.03,369.49,369.49,0,23603,119.3359,3845.3867,3763.12,7715.39,201.88,1254,1253,172.9,170,291.1,288.7,0,0,39.1414,39.1414,84.4
369.62,370.97,370.97,0,23467,124.4977,3812.745,3728.43,7697.36,200.4394,1254,1253,174,169.1,290.9,289.7,0,0,43.4411,43.4411,84.17
367.67,369.3,369.3,0,23627,121.4252,3830.2256,3760.39,7697.18,201.2822,1253,1253,174.1,167.4,289.9,288.3,0,0,42.7926,42.7926,84.36
